Date,x,y,BroadTopic,Topic,SubTopic,category_id
1960,3.1419487244410877,1.9524483892401816,0,,,0
1976,3.357954347153465,2.5975167602777227,0,,,0
1980,3.2408776336931813,2.7885407193352276,0,,,0
1984,2.680437425375,2.5959247424062495,0,,,0
1988,3.7510288308977033,3.176556123194154,0,,,0
1992,4.206527012055901,3.4872603902795034,0,,,0
1996,3.9586280239729117,3.592317225869074,0,,,0
2000,3.1833445245825085,3.328131090584159,0,,,0
2004,2.7624958150747756,3.097286972891326,0,,,0
2008,3.3403692715665803,2.7706638106566577,0,,,0
2012,3.3740194222431077,2.9463815545864662,0,,,0
2016,3.257801152546584,3.0333679771925466,0,,,0
2020,4.053249982711865,3.554706021461864,0,,,0
1960,7.7607846729064045,3.32559099682266,1,,,1
1976,8.048729812408759,2.6839099566131392,1,,,1
1980,8.014495785377358,2.1638853580405657,1,,,1
1984,8.11348247177305,3.3398896747801423,1,,,1
1988,7.689788604135339,2.9449334253984967,1,,,1
1992,7.994329101821493,3.559818062972677,1,,,1
1996,7.774676499107143,3.780719332395089,1,,,1
2000,7.741289854844962,3.4564578322131783,1,,,1
2004,7.946780808615384,3.5361417137960003,1,,,1
2008,7.92103934510978,2.8857468863968063,1,,,1
2012,8.144299105520505,3.1407141614225553,1,,,1
2016,7.860018379002625,3.460182398070866,1,,,1
2020,7.324228156534091,2.721975925835227,1,,,1
1960,2.729891204109589,5.3833930424657535,2,,,2
1976,3.866109029268293,5.273033297420976,2,,,2
1980,2.7034873857142854,5.821010157142857,2,,,2
1984,2.743410025641026,6.318198217948719,2,,,2
1988,3.728932207142858,5.923429236734695,2,,,2
1992,3.5503404262857146,5.696934029942856,2,,,2
1996,2.398811478640776,5.941336690291261,2,,,2
2000,3.0917722641379313,5.821037518344827,2,,,2
2004,2.862430897142857,5.811626665357143,2,,,2
2008,3.5502778496732024,5.703370860784314,2,,,2
2012,3.395570572972973,5.579957608783784,2,,,2
2016,3.3178344523437504,5.75457425234375,2,,,2
2020,2.692302560714286,5.789232013333334,2,,,2
1960,10.522982441176469,5.155052317647058,3,,,3
1976,10.02626530769231,5.92823013076923,3,,,3
1980,9.930740656666668,4.952484713333333,3,,,3
1984,10.327928833333333,5.239851316666666,3,,,3
1988,9.19927821147541,6.068220101639344,3,,,3
1992,9.712959434181817,6.09189995,3,,,3
1996,9.44952657226891,5.872886144537815,3,,,3
2000,10.112830850574714,5.6327058011494255,3,,,3
2004,9.932839211728394,6.14370845,3,,,3
2008,10.219715575757576,6.008751504545455,3,,,3
2012,10.210983616806722,5.432517107563027,3,,,3
2016,9.90558524716981,5.678563154716982,3,,,3
2020,9.640244752542374,6.364134037288136,3,,,3
1960,2.643277376470588,8.218885773529411,4,,,4
1976,2.7832980235294116,7.984351694117648,4,,,4
1980,3.3527201625,5.9457960750000005,4,,,4
1984,2.931188947058824,7.8114490352941175,4,,,4
1988,3.287002236585366,7.558829231707318,4,,,4
1992,2.833741408219178,7.856125676712329,4,,,4
1996,3.1465473191489366,8.108675217021275,4,,,4
2000,3.3007604464646465,8.183082414141413,4,,,4
2004,3.295648567213115,7.664586072131149,4,,,4
2008,2.7344700352941174,8.202778076470588,4,,,4
2012,2.8799109217391305,8.081889963043476,4,,,4
2016,2.9663961582417584,7.760128736263736,4,,,4
2020,3.1479239835616433,7.877147198630138,4,,,4
1960,6.221752033333334,7.227594199999999,5,,,5
1976,6.647389751612903,7.244200896774194,5,,,5
1980,5.918200640000001,6.68172124,5,,,5
1984,6.138372945454545,6.800759460454546,5,,,5
1988,6.787346416,7.100595439999999,5,,,5
1992,6.381705895833334,7.0412538666666675,5,,,5
1996,6.342062187912087,6.930183461538462,5,,,5
2000,6.4706058263803685,7.367653435582822,5,,,5
2004,6.381959313461538,7.135681765384616,5,,,5
2008,4.7210396,6.960808425,5,,,5
2012,6.442808882142858,7.232112107142858,5,,,5
2016,6.580803398360656,7.185353462295082,5,,,5
2020,6.2810699,6.8935249625,5,,,5
1960,5.297516153846154,5.717623987692307,6,,,6
1976,5.406358962068966,7.731244082758621,6,,,6
1980,5.400536396296297,8.101922681481481,6,,,6
1984,5.294708469491526,8.226427310169491,6,,,6
1988,5.4305553828571425,7.214772851428572,6,,,6
1992,6.286414479545454,7.592676443181818,6,,,6
1996,6.558518711764706,7.095058404705884,6,,,6
2000,5.529353092207794,7.646083601038962,6,,,6
2004,5.5182815298850585,7.718286585057471,6,,,6
2008,5.62962973125,7.891026322916666,6,,,6
2012,5.657197334375001,7.788692378125,6,,,6
2016,5.612081197058823,7.813086613235294,6,,,6
2020,5.56218938292683,7.397841653658537,6,,,6
1960,2.158408577777778,6.449898622222222,7,,,7
1976,2.2061601538461537,7.234273684615385,7,,,7
1980,2.141702025,7.300478674999999,7,,,7
1984,1.97756717,7.678688920000001,7,,,7
1988,2.211596873913043,7.408059330434782,7,,,7
1992,1.976829417142857,7.672284404285714,7,,,7
1996,2.1901924102564103,7.2805710076923065,7,,,7
2000,1.9152625148387097,7.498554561290323,7,,,7
2004,2.0379458959999996,7.556654594285715,7,,,7
2008,1.9533230413725493,7.487548701960783,7,,,7
2012,2.148931848636363,7.381226790909093,7,,,7
2016,2.456514222826087,7.539857622826086,7,,,7
2020,2.078977758095238,7.25111132,7,,,7
1960,3.3655666363636367,4.790461590909092,8,,,8
1976,3.689585163636364,3.6722860454545456,8,,,8
1980,3.1336730000000004,6.486707357142857,8,,,8
1984,3.3800271588235296,5.254728116470588,8,,,8
1988,3.142279992857143,5.499475371428572,8,,,8
